Date,BIST100,USDTRY,EURTRY,GOLD
2012-11-05,727.3671264648438,1.7913800477981567,2.2969000339508057,1682.199951171875
2012-11-06,720.3931274414062,1.780400037765503,2.2788000106811523,1714.0999755859375
2012-11-07,716.0452270507812,1.7726500034332275,2.270519971847534,1713.199951171875
2012-11-08,726.494140625,1.7843600511550903,2.277509927749634,1725.4000244140625
2012-11-09,718.19921875,1.785249948501587,2.2744500637054443,1730.300048828125
2012-11-12,713.5662231445312,1.790179967880249,2.2778899669647217,1730.300048828125
2012-11-13,720.1481323242188,1.80062997341156,2.2883899211883545,1724.199951171875
2012-11-14,713.252197265625,1.8072799444198608,2.297339916229248,1729.5
2012-11-15,715.9682006835938,1.8055700063705444,2.299099922180176,1713.300048828125
2012-11-16,707.9012451171875,1.8006700277328491,2.3020501136779785,1714.300048828125
2012-11-19,706.0702514648438,1.7964999675750732,2.293339967727661,1734.0
2012-11-20,706.36328125,1.7991700172424316,2.2983899116516113,1723.199951171875
2012-11-21,704.604248046875,1.7923699617385864,2.2970199584960938,1727.9000244140625
2012-11-22,699.2572631835938,1.801010012626648,2.318010091781616,
2012-11-23,710.0392456054688,1.7968800067901611,2.3136401176452637,1751.300048828125
2012-11-26,718.6652221679688,1.7942700386047363,2.3264501094818115,1749.5
2012-11-27,719.9931640625,1.7939800024032593,2.331209897994995,1742.199951171875
2012-11-28,719.7411499023438,1.7906800508499146,2.3169500827789307,1716.5
2012-11-29,724.4851684570312,1.790079951286316,2.31781005859375,1727.199951171875
2012-11-30,730.5811767578125,1.7850799560546875,2.3152499198913574,1710.9000244140625
2012-12-03,742.9850463867188,1.785580039024353,2.3212099075317383,1719.5999755859375
2012-12-04,755.2229614257812,1.7851799726486206,2.331350088119507,1694.4000244140625
2012-12-05,760.3799438476562,1.7840499877929688,2.3351500034332275,1692.4000244140625
2012-12-06,757.8519897460938,1.7860000133514404,2.33351993560791,1700.300048828125
2012-12-07,762.41796875,1.789080023765564,2.3180301189422607,1704.0
2012-12-10,767.3399047851562,1.7890599966049194,2.3092598915100098,1713.0
2012-12-11,768.1439208984375,1.7879799604415894,2.3132500648498535,1708.199951171875
2012-12-12,774.0399169921875,1.7810800075531006,2.3169400691986084,1716.5999755859375
2012-12-13,769.62890625,1.7762199640274048,2.3217999935150146,1695.5999755859375
2012-12-14,762.927978515625,1.7805800437927246,2.3275198936462402,1695.800048828125
2012-12-17,774.6649169921875,1.7784700393676758,2.3410398960113525,1697.0
2012-12-18,772.9808959960938,1.7836699485778809,2.347409963607788,1669.5
2012-12-19,768.0989379882812,1.7786099910736084,2.3513100147247314,1666.5
2012-12-20,768.139892578125,1.7834700345993042,2.355679988861084,1644.9000244140625
2012-12-21,766.8428955078125,1.7860900163650513,2.3645999431610107,1659.0999755859375
2012-12-24,773.1409301757812,1.7932900190353394,2.3606300354003906,1658.5999755859375
2012-12-25,775.9578857421875,1.7949999570846558,2.366529941558838,
2012-12-26,779.9068603515625,1.7920000553131104,2.364300012588501,1659.800048828125
2012-12-27,784.537841796875,1.7934199571609497,2.3712799549102783,1662.5999755859375
2012-12-28,785.786865234375,1.7880799770355225,2.3651599884033203,1654.9000244140625
2012-12-31,782.079833984375,1.7886799573898315,2.3647499084472656,1674.800048828125
2013-01-01,,1.7818000316619873,2.352799892425537,
